,t2_5km,usodosolo,elevacao,slope,ndvi,evi,t2_1km,aspect_LE,aspec_NS
856,307.623,12.0,21,0.3089126,8379,5290,307.578,0.790041,0.6130539
857,307.623,14.0,21,0.39886698,5465,3478,307.538,0.984382,-0.17604594
858,307.623,10.0,23,0.32490483,7278,3574,307.829,0.9842174,0.17696352
859,307.623,10.0,19,0.5505157,7278,4452,307.903,0.9341316,0.35692868
860,307.552,10.0,27,1.2415556,6742,3949,307.799,0.9731905,-0.23000053
861,307.552,12.0,37,0.9854361,6432,3847,307.81,-0.44807363,0.89399666
862,307.552,14.0,36,0.48516682,7541,4430,307.868,0.70247024,0.71171314
863,307.552,14.0,41,0.3732326,6991,4430,307.832,0.85435975,0.51968205
864,307.552,13.0,42,1.7054398,5395,3041,308.563,-0.6658727,0.7460654
865,308.077,13.0,62,3.4620328,6049,3389,308.566,0.8004058,-0.5994585
866,308.077,12.0,115,3.2017796,7155,3945,307.659,-0.99555653,0.09416566
867,308.077,13.0,115,3.1030614,6695,4003,308.667,-0.99089265,0.13465403
868,308.077,12.0,58,2.1399086,6880,3723,307.829,0.47044384,0.88242996
869,308.077,12.0,61,1.4391142,7122,3837,307.852,-0.33874086,0.9408797
870,308.469,9.0,91,2.0631392,7122,4042,308.291,0.9264715,0.37636495
871,308.469,9.0,40,3.6489847,8125,4851,308.486,-0.9159858,-0.40121064
872,308.469,9.0,70,2.1223216,7932,4851,308.658,0.49547338,0.86862314
873,308.469,14.0,40,1.1119846,4949,2880,308.631,-0.9976485,-0.06853837
874,308.469,13.0,28,1.5128491,4122,2285,309.872,-0.9446817,0.32798854
875,308.8,16.0,68,1.5756037,7500,2687,309.442,-0.98121655,-0.19290945
876,308.8,9.0,68,1.135014,7120,4078,308.974,0.5506128,-0.8347608
877,308.8,7.0,38,0.64918125,5934,3257,309.407,-0.9815168,0.19137596
878,308.8,13.0,57,1.1608655,5617,3220,309.127,-0.86130637,-0.50808597
879,308.8,12.0,20,1.3251837,6615,3456,308.665,-0.5906978,-0.8068929
880,309.036,12.0,13,1.8783672,8158,3474,308.628,0.812643,-0.5827619
881,309.036,12.0,16,2.6938226,8611,4645,308.331,-0.45863923,0.8886226
882,309.036,12.0,63,1.9952961,8315,5063,308.176,-0.9469795,0.32129392
883,309.036,12.0,47,2.127989,8546,5124,308.304,0.17759079,0.9841044
884,309.036,7.0,10,1.1063435,8427,4758,309.509,-0.24949646,0.9683757
885,309.534,12.0,10,0.4827725,8203,4898,308.72,-0.94885325,0.31571743
